year,week_of_year,borough,avg_ridership,total_ridership,peak_period,period,week_start
2025,7,Queens,71.25697412823396,1266949.0,Morning Peak,Post Policy,2025-02-10
2025,8,Bronx,25.5141330100832,463056.0,Morning Peak,Post Policy,2025-02-17
2025,8,Brooklyn,35.98948745157071,1458402.0,Morning Peak,Post Policy,2025-02-17
2025,8,Manhattan,70.30938542162936,2213691.0,Morning Peak,Post Policy,2025-02-17
2025,8,Queens,61.33472214071944,1045205.0,Morning Peak,Post Policy,2025-02-17
2025,9,Bronx,34.44931213351376,610993.0,Morning Peak,Post Policy,2025-02-24
2025,9,Brooklyn,45.378931578438014,1875602.0,Morning Peak,Post Policy,2025-02-24
2025,9,Manhattan,82.23231369587108,2613014.0,Morning Peak,Post Policy,2025-02-24
2025,9,Queens,73.35062884214088,1300580.0,Morning Peak,Post Policy,2025-02-24
2025,10,Bronx,33.68699232224324,605490.0,Morning Peak,Post Policy,2025-03-03
2025,10,Brooklyn,44.96998579921535,1868368.0,Morning Peak,Post Policy,2025-03-03
2025,10,Manhattan,81.18985899883012,2637209.0,Morning Peak,Post Policy,2025-03-03
2025,10,Queens,73.63151034287333,1299228.0,Morning Peak,Post Policy,2025-03-03
2025,11,Bronx,34.487779924974426,606778.0,Morning Peak,Post Policy,2025-03-10
2025,11,Brooklyn,43.80886019901657,1879882.0,Morning Peak,Post Policy,2025-03-10
2025,11,Manhattan,81.10744281220413,2655701.0,Morning Peak,Post Policy,2025-03-10
2025,11,Queens,70.28673073859714,1323710.0,Morning Peak,Post Policy,2025-03-10
2025,12,Bronx,32.58060891433463,608899.0,Morning Peak,Post Policy,2025-03-17
2025,12,Brooklyn,43.29875401834949,1845263.0,Morning Peak,Post Policy,2025-03-17
2025,12,Manhattan,77.02442447224627,2579625.0,Morning Peak,Post Policy,2025-03-17
2025,12,Queens,69.54689487070793,1312489.0,Morning Peak,Post Policy,2025-03-17
2025,13,Bronx,31.50763181042065,608948.0,Morning Peak,Post Policy,2025-03-24
2025,13,Brooklyn,42.71545015817304,1849878.0,Morning Peak,Post Policy,2025-03-24
2025,13,Manhattan,76.78092478713339,2597038.0,Morning Peak,Post Policy,2025-03-24
